INFO_TIME,COUNTY_ID,COUNTY_ID_NM,TOWN_ID,TOWN_ID_NM,V_ID,V_ID_NM,fld0101,fld0201,fld0301,fld0401
╕ъо╞о╔╢б,┐делеN╜X,┐делжW║┘,╢m┬эел░╧еN╜X,╢m┬эел░╧жW║┘,з°и╜еN╜X,з°и╜жW║┘,дс╝╞,дHдf╝╞,иkй╩дHдf╝╞,дkй╩дHдf╝╞
"103Y3M","10002","йy─ї┐д","10002070","н√дs╢m","10002070-006","у╕л╤з°",475,1389,750,639
"103Y3M","10002","йy─ї┐д","10002070","н√дs╢m","10002070-010","└Yд└з°",487,1524,804,720
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-023","дGл░и╜",460,1313,700,613
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-021","дUоHи╜",401,1140,605,535
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-009","дjз|и╜",463,1571,797,774
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-002","дjи╜и╜",276,806,404,402
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-003","дj╖╦и╜",361,1072,567,505
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-022","дд▒[и╜",398,1273,665,608
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-006","е~┐Dи╜",366,1063,562,501
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-001","е█л░и╜",129,351,187,164
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-004","жX┐│и╜",158,419,222,197
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-014","ж╦жwи╜",796,2499,1278,1221
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-005","зє╖sи╜",527,1566,801,765
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-016","й▐╢ои╜",774,2221,1106,1115
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-008","кZ└чи╜",653,1934,961,973
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-019","кўм╒и╜",279,864,481,383
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-018","кўн▒и╜",689,2062,1109,953
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-011","л░е_и╜",217,602,311,291
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-012","л░жши╜",223,702,366,336
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-010","л░кFи╜",329,913,456,457
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-013","л░лnи╜",276,775,399,376
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-020","│╗оHи╜",550,1597,831,766
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-007","┤фдfи╜",270,784,407,377
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-015","╖sл╪и╜",819,2447,1244,1203
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-017","║╓жии╜",366,1185,650,535
"103Y3M","10002","йy─ї┐д","10002040","└Yл░┬э","10002040-024","└tдsи╜",229,837,398,439
"103Y3M","10002","йy─ї┐д","10002050","┴G╖╦╢m","10002050-018","дG╡▓з°",198,512,285,227
"103Y3M","10002","йy─ї┐д","10002050","┴G╖╦╢m","10002050-007","дG└sз°",505,1410,760,650
"103Y3M","10002","йy─ї┐д","10002050","┴G╖╦╢m","10002050-010","дTе┴з°",964,2968,1597,1371
"103Y3M","10002","йy─ї┐д","10002050","┴G╖╦╢m","10002050-004","дjй╛з°",1269,2945,1451,1494
"103Y3M","10002","йy─ї┐д","10002050","┴G╖╦╢m","10002050-005","дj╕qз°",278,802,402,400
"103Y3M","10002","йy─ї┐д","10002050","┴G╖╦╢m","10002050-006","д╗╡▓з°",618,1725,893,832
